Epoch: 0, Train Loss: -0.040634640924026105, Validation Loss: -0.020000306889414787
Epoch: 1, Train Loss: -0.051137996900179165, Validation Loss: -0.020000070333480835
Epoch: 2, Train Loss: -0.051053009217987506, Validation Loss: -0.019999999552965164
Epoch: 3, Train Loss: -0.05124578753288889, Validation Loss: -0.019999999552965164
Epoch: 4, Train Loss: -0.05124993600804935, Validation Loss: -0.019999999552965164
Epoch: 5, Train Loss: -0.051278710545784804, Validation Loss: -0.020000018179416656
Epoch: 6, Train Loss: -0.05377445846575781, Validation Loss: -0.019999999552965164
Epoch: 7, Train Loss: -0.044004423395159, Validation Loss: -0.019999999552965164
Epoch: 8, Train Loss: -0.04258577896490367, Validation Loss: -0.02000003308057785
Epoch: 9, Train Loss: -0.04434888109222241, Validation Loss: -0.05178564786911011
Epoch: 10, Train Loss: -0.11988826496016372, Validation Loss: -0.09076089411973953
Epoch: 11, Train Loss: -0.2491943696010037, Validation Loss: -0.14440137147903442
Epoch: 12, Train Loss: -0.3757027182352664, Validation Loss: -0.16566407680511475
Epoch: 13, Train Loss: -0.455437687832315, Validation Loss: -0.1791539490222931
Epoch: 14, Train Loss: -0.5371082960282092, Validation Loss: -0.1829940527677536
Epoch: 15, Train Loss: -0.5838250081994605, Validation Loss: -0.196756973862648
Epoch: 16, Train Loss: -0.6266443452315853, Validation Loss: -0.19355183839797974
Epoch: 17, Train Loss: -0.658199847455441, Validation Loss: -0.20870324969291687
Epoch: 18, Train Loss: -0.6922583655290495, Validation Loss: -0.2050732523202896
Epoch: 19, Train Loss: -0.7184178259220243, Validation Loss: -0.20403297245502472
Epoch: 20, Train Loss: -0.7393197489293528, Validation Loss: -0.20082487165927887
Epoch: 21, Train Loss: -0.7571066233066673, Validation Loss: -0.1976742148399353
Epoch: 22, Train Loss: -0.7828527831969538, Validation Loss: -0.19448454678058624
Epoch: 23, Train Loss: -0.7930251269014864, Validation Loss: -0.20174892246723175
Epoch: 24, Train Loss: -0.7985144405467254, Validation Loss: -0.2058531939983368
Epoch: 25, Train Loss: -0.8131977298399938, Validation Loss: -0.20074033737182617
Epoch: 26, Train Loss: -0.823445189086981, Validation Loss: -0.19924888014793396
Epoch: 27, Train Loss: -0.835695226881482, Validation Loss: -0.21632613241672516
Epoch: 28, Train Loss: -0.8452786963002731, Validation Loss: -0.22277607023715973
Epoch: 29, Train Loss: -0.8623723961472756, Validation Loss: -0.2145659178495407
Epoch: 30, Train Loss: -0.8509718028537226, Validation Loss: -0.2207358181476593
Epoch: 31, Train Loss: -0.8648140680680375, Validation Loss: -0.22257068753242493
Epoch: 32, Train Loss: -0.8726345916794022, Validation Loss: -0.22611194849014282
Epoch: 33, Train Loss: -0.8839057674621397, Validation Loss: -0.21381555497646332
Epoch: 34, Train Loss: -0.8790114607978881, Validation Loss: -0.23628968000411987
Epoch: 35, Train Loss: -0.886495419441808, Validation Loss: -0.21681493520736694
Epoch: 36, Train Loss: -0.8954105055537539, Validation Loss: -0.22288952767848969
Epoch: 37, Train Loss: -0.8994819142732148, Validation Loss: -0.21568502485752106
Epoch: 38, Train Loss: -0.9072160682802126, Validation Loss: -0.22480209171772003
Epoch: 39, Train Loss: -0.9049870472806344, Validation Loss: -0.23016054928302765
Epoch: 40, Train Loss: -0.9130915307656106, Validation Loss: -0.22044114768505096
Epoch: 41, Train Loss: -0.9224574875631353, Validation Loss: -0.22761455178260803
Epoch: 42, Train Loss: -0.9200184750405448, Validation Loss: -0.2280399054288864
Epoch: 43, Train Loss: -0.920180909475544, Validation Loss: -0.23336288332939148
Epoch: 44, Train Loss: -0.9304442303822404, Validation Loss: -0.2198059856891632
Epoch: 45, Train Loss: -0.9274811043294487, Validation Loss: -0.2187458872795105
Epoch: 46, Train Loss: -0.931151536981951, Validation Loss: -0.22587309777736664
Epoch: 47, Train Loss: -0.9295907087723654, Validation Loss: -0.2332778126001358
Epoch: 48, Train Loss: -0.9359149401191401, Validation Loss: -0.22687527537345886
Epoch: 49, Train Loss: -0.9375227629196392, Validation Loss: -0.22186154127120972
Epoch: 50, Train Loss: -0.9350397786359822, Validation Loss: -0.2316785752773285
Epoch: 51, Train Loss: -0.9398364575930336, Validation Loss: -0.22837474942207336
Epoch: 52, Train Loss: -0.9381641835119153, Validation Loss: -0.22747060656547546
Epoch: 53, Train Loss: -0.9404500880289004, Validation Loss: -0.2204948514699936
Epoch: 54, Train Loss: -0.9399647073573205, Validation Loss: -0.22393488883972168
Epoch: 55, Train Loss: -0.9437552698555038, Validation Loss: -0.23027382791042328
Epoch: 56, Train Loss: -0.9426028902452201, Validation Loss: -0.22576381266117096
Epoch: 57, Train Loss: -0.9439842787821088, Validation Loss: -0.23653237521648407
Epoch: 58, Train Loss: -0.9474579531066811, Validation Loss: -0.23150819540023804
Epoch: 59, Train Loss: -0.9474142490550252, Validation Loss: -0.23078416287899017
Epoch: 60, Train Loss: -0.9461988149723581, Validation Loss: -0.2405121922492981
