4 linear layers with 500 neurons each, Dropout after every layer.
Epoch: 0, Train Loss: -0.33289360006650287, Validation Loss: -0.3331930935382843
Epoch: 1, Train Loss: -0.3334940089119805, Validation Loss: -0.33196818828582764
Epoch: 2, Train Loss: -0.3333748075697157, Validation Loss: -0.33096033334732056
Epoch: 3, Train Loss: -0.33371353215641447, Validation Loss: -0.3297278881072998
Epoch: 4, Train Loss: -0.3349907590283288, Validation Loss: -0.3278571367263794
Epoch: 5, Train Loss: -0.3346696502632565, Validation Loss: -0.32603275775909424
Epoch: 6, Train Loss: -0.33359672294722664, Validation Loss: -0.3247658610343933
Epoch: 7, Train Loss: -0.3335256901052263, Validation Loss: -0.3236547112464905
Epoch: 8, Train Loss: -0.33752112090587616, Validation Loss: -0.32125169038772583
Epoch: 9, Train Loss: -0.33653772738244797, Validation Loss: -0.3190702795982361
Epoch: 10, Train Loss: -0.3395332147677739, Validation Loss: -0.3166424632072449
Epoch: 11, Train Loss: -0.3414213730229272, Validation Loss: -0.3148978054523468
Epoch: 12, Train Loss: -0.3399674614270528, Validation Loss: -0.31353387236595154
Epoch: 13, Train Loss: -0.34153862131966484, Validation Loss: -0.31285691261291504
Epoch: 14, Train Loss: -0.34064033528168997, Validation Loss: -0.3122605085372925
Epoch: 15, Train Loss: -0.34379169907834795, Validation Loss: -0.312735378742218
Epoch: 16, Train Loss: -0.340457965599166, Validation Loss: -0.3123615086078644
Epoch: 17, Train Loss: -0.34070714281664954, Validation Loss: -0.3120840787887573
Epoch: 18, Train Loss: -0.3430752416451772, Validation Loss: -0.3126772344112396
Epoch: 19, Train Loss: -0.34561256302727594, Validation Loss: -0.31388962268829346
Epoch: 20, Train Loss: -0.3434803671307034, Validation Loss: -0.31442129611968994
Epoch: 21, Train Loss: -0.3583397517601649, Validation Loss: -0.3169402778148651
Epoch: 22, Train Loss: -0.3740779442919625, Validation Loss: -0.321271151304245
Epoch: 23, Train Loss: -0.44205343127250674, Validation Loss: -0.32654640078544617
Epoch: 24, Train Loss: -0.5160594311025407, Validation Loss: -0.329202800989151
Epoch: 25, Train Loss: -0.5580250892374251, Validation Loss: -0.3359871208667755
Epoch: 26, Train Loss: -0.5752411597304874, Validation Loss: -0.33472150564193726
Epoch: 27, Train Loss: -0.5997524552875095, Validation Loss: -0.32296469807624817
Epoch: 28, Train Loss: -0.6159556892183092, Validation Loss: -0.32638871669769287
Epoch: 29, Train Loss: -0.6056304633617401, Validation Loss: -0.32432129979133606
Epoch: 30, Train Loss: -0.6162906812296973, Validation Loss: -0.31204065680503845
Epoch: 31, Train Loss: -0.6259942836231656, Validation Loss: -0.3213847577571869
Epoch: 32, Train Loss: -0.6325086275736491, Validation Loss: -0.3335137665271759
Epoch: 33, Train Loss: -0.6454436825381384, Validation Loss: -0.33277398347854614
Epoch: 34, Train Loss: -0.6583124902513292, Validation Loss: -0.3455650210380554
Epoch: 35, Train Loss: -0.6833103789223565, Validation Loss: -0.359149694442749
Epoch: 36, Train Loss: -0.6968586749500698, Validation Loss: -0.35842660069465637
Epoch: 37, Train Loss: -0.6975493570168813, Validation Loss: -0.3812423348426819
Epoch: 38, Train Loss: -0.7046302265591091, Validation Loss: -0.38908979296684265
Epoch: 39, Train Loss: -0.7290285322401259, Validation Loss: -0.33125200867652893
Epoch: 40, Train Loss: -0.7368270556131998, Validation Loss: -0.366312175989151
Epoch: 41, Train Loss: -0.7548203653759427, Validation Loss: -0.36158090829849243
Epoch: 42, Train Loss: -0.7502660446696812, Validation Loss: -0.38184866309165955
Epoch: 43, Train Loss: -0.7752380861176384, Validation Loss: -0.37282422184944153
Epoch: 44, Train Loss: -0.795771492852105, Validation Loss: -0.36026614904403687
Epoch: 45, Train Loss: -0.8003880156411065, Validation Loss: -0.3789459764957428
Epoch: 46, Train Loss: -0.7639103478855557, Validation Loss: -0.37264326214790344
Epoch: 47, Train Loss: -0.7895836022165087, Validation Loss: -0.38323765993118286
Epoch: 48, Train Loss: -0.7910025013817681, Validation Loss: -0.4032318890094757
Epoch: 49, Train Loss: -0.7419846064514584, Validation Loss: -0.3665107786655426
Epoch: 50, Train Loss: -0.7391170369254219, Validation Loss: -0.35998207330703735
Epoch: 51, Train Loss: -0.7246585011482238, Validation Loss: -0.32952022552490234
Epoch: 52, Train Loss: -0.8171347988976373, Validation Loss: -0.3589719235897064
Epoch: 53, Train Loss: -0.8095663732952542, Validation Loss: -0.35192805528640747
Epoch: 54, Train Loss: -0.8215456075138516, Validation Loss: -0.33948224782943726
Epoch: 55, Train Loss: -0.8228465888235305, Validation Loss: -0.3480300307273865
Epoch: 56, Train Loss: -0.8163837684525383, Validation Loss: -0.3807910978794098
Epoch: 57, Train Loss: -0.8073904010984633, Validation Loss: -0.34029000997543335
Epoch: 58, Train Loss: -0.8267133368386163, Validation Loss: -0.3727555274963379
Epoch: 59, Train Loss: -0.8363630943828159, Validation Loss: -0.37633180618286133
Epoch: 60, Train Loss: -0.8462615927060445, Validation Loss: -0.3546329140663147
Epoch: 61, Train Loss: -0.8352207528220282, Validation Loss: -0.34861230850219727
Epoch: 62, Train Loss: -0.8365139947997199, Validation Loss: -0.3573976457118988
Epoch: 63, Train Loss: -0.8395620028177897, Validation Loss: -0.363447368144989
Epoch: 64, Train Loss: -0.8429828604062398, Validation Loss: -0.3687605559825897
Epoch: 65, Train Loss: -0.8490314536624485, Validation Loss: -0.36107099056243896
Epoch: 66, Train Loss: -0.8514793846342299, Validation Loss: -0.34070485830307007
Epoch: 67, Train Loss: -0.8458287941084968, Validation Loss: -0.38236770033836365
Epoch: 68, Train Loss: -0.8600175658861796, Validation Loss: -0.3557584881782532
Epoch: 69, Train Loss: -0.8574441591898601, Validation Loss: -0.37625864148139954
Epoch: 70, Train Loss: -0.8580754770172967, Validation Loss: -0.35382264852523804
Epoch: 71, Train Loss: -0.8681851108868917, Validation Loss: -0.3691226541996002
Epoch: 72, Train Loss: -0.8576815406481425, Validation Loss: -0.39046305418014526
Epoch: 73, Train Loss: -0.8469136357307434, Validation Loss: -0.38124120235443115
Epoch: 74, Train Loss: -0.8574319375885857, Validation Loss: -0.35366079211235046
Epoch: 75, Train Loss: -0.8646208948559231, Validation Loss: -0.3776446580886841
Epoch: 76, Train Loss: -0.8478367355134752, Validation Loss: -0.38329392671585083
Epoch: 77, Train Loss: -0.8510510789023505, Validation Loss: -0.3518007695674896
Epoch: 78, Train Loss: -0.8719898594750298, Validation Loss: -0.3521384596824646
Epoch: 79, Train Loss: -0.868171481291453, Validation Loss: -0.35448139905929565
Epoch: 80, Train Loss: -0.8747584753566318, Validation Loss: -0.37477797269821167
Epoch: 81, Train Loss: -0.8841087063153584, Validation Loss: -0.3531166911125183
Epoch: 82, Train Loss: -0.886767221821679, Validation Loss: -0.3637852370738983
Epoch: 83, Train Loss: -0.8704978677961561, Validation Loss: -0.340025931596756
Epoch: 84, Train Loss: -0.8709113438924153, Validation Loss: -0.38236451148986816
Epoch: 85, Train Loss: -0.8776693900426229, Validation Loss: -0.35809126496315
Epoch: 86, Train Loss: -0.880034269226922, Validation Loss: -0.3649483919143677
Epoch: 87, Train Loss: -0.8855034841431512, Validation Loss: -0.367634654045105
Epoch: 88, Train Loss: -0.8747130168808831, Validation Loss: -0.35275208950042725
Epoch: 89, Train Loss: -0.8764692385991414, Validation Loss: -0.3587033748626709
Epoch: 90, Train Loss: -0.8715101970566643, Validation Loss: -0.3525829315185547
Epoch: 91, Train Loss: -0.8778766777780321, Validation Loss: -0.35467109084129333
Epoch: 92, Train Loss: -0.8768541693687439, Validation Loss: -0.35796743631362915
Epoch: 93, Train Loss: -0.8724851515558031, Validation Loss: -0.35665416717529297
Epoch: 94, Train Loss: -0.8883530325359769, Validation Loss: -0.3576587438583374
Epoch: 95, Train Loss: -0.8626390430662367, Validation Loss: -0.3606666624546051
Epoch: 96, Train Loss: -0.8785013066397773, Validation Loss: -0.3633972108364105
Epoch: 97, Train Loss: -0.8969445400767856, Validation Loss: -0.3634093105792999
Epoch: 98, Train Loss: -0.875714107354482, Validation Loss: -0.36501339077949524
Epoch: 99, Train Loss: -0.8735106733110216, Validation Loss: -0.3618834316730499

9 layers, 500 neurons each, dropout after each layer, learning rate 0.0001
model = Model1Linear(500).cuda()

learn(model, 10000000)

Epoch: 0, Train Loss: -0.33314572241571216, Validation Loss: -0.33336856961250305
Epoch: 1, Train Loss: -0.3331556585099962, Validation Loss: -0.33331653475761414
Epoch: 2, Train Loss: -0.33349309696091545, Validation Loss: -0.33325740694999695
Epoch: 3, Train Loss: -0.33336908883518646, Validation Loss: -0.3331812620162964
Epoch: 4, Train Loss: -0.33321265975634257, Validation Loss: -0.3330972492694855
Epoch: 5, Train Loss: -0.3331224044164022, Validation Loss: -0.3330419361591339
Epoch: 6, Train Loss: -0.3333868649270799, Validation Loss: -0.33295851945877075
Epoch: 7, Train Loss: -0.3333988395002153, Validation Loss: -0.33291593194007874
Epoch: 8, Train Loss: -0.3336293147669898, Validation Loss: -0.3328177034854889
Epoch: 9, Train Loss: -0.33350832131173874, Validation Loss: -0.3326793313026428
Epoch: 10, Train Loss: -0.3338126619656881, Validation Loss: -0.332522988319397
Epoch: 11, Train Loss: -0.3331885947121514, Validation Loss: -0.3324414789676666
Epoch: 12, Train Loss: -0.333680702580346, Validation Loss: -0.3322843909263611
Epoch: 13, Train Loss: -0.3336702161365085, Validation Loss: -0.332194983959198
Epoch: 14, Train Loss: -0.3334379129939609, Validation Loss: -0.3320271670818329
Epoch: 15, Train Loss: -0.33382053507698906, Validation Loss: -0.3318488597869873
Epoch: 16, Train Loss: -0.3334131479263306, Validation Loss: -0.3316279351711273
Epoch: 17, Train Loss: -0.33332479265001086, Validation Loss: -0.3315327763557434
Epoch: 18, Train Loss: -0.3341212173302968, Validation Loss: -0.3312712013721466
Epoch: 19, Train Loss: -0.33429909149805703, Validation Loss: -0.3309006690979004
Epoch: 20, Train Loss: -0.33443394833140905, Validation Loss: -0.3302190899848938
Epoch: 21, Train Loss: -0.3337990118397607, Validation Loss: -0.329673707485199
Epoch: 22, Train Loss: -0.33468739853964913, Validation Loss: -0.32913464307785034
Epoch: 23, Train Loss: -0.33410650425487093, Validation Loss: -0.32864493131637573
Epoch: 24, Train Loss: -0.33378288216061064, Validation Loss: -0.32802116870880127
Epoch: 25, Train Loss: -0.33548286457856497, Validation Loss: -0.32700932025909424
Epoch: 26, Train Loss: -0.33424913419617547, Validation Loss: -0.32647427916526794
Epoch: 27, Train Loss: -0.3340734955337312, Validation Loss: -0.3256036341190338
Epoch: 28, Train Loss: -0.33673664728800456, Validation Loss: -0.3249712586402893
Epoch: 29, Train Loss: -0.3368980904420217, Validation Loss: -0.3242371678352356
Epoch: 30, Train Loss: -0.33641942342122394, Validation Loss: -0.32375568151474
Epoch: 31, Train Loss: -0.3384998927513758, Validation Loss: -0.32299140095710754
Epoch: 32, Train Loss: -0.33533795972665154, Validation Loss: -0.3227202594280243
Epoch: 33, Train Loss: -0.33801534838146635, Validation Loss: -0.3220110535621643
Epoch: 34, Train Loss: -0.34055766065915427, Validation Loss: -0.321739137172699
Epoch: 35, Train Loss: -0.3372937884595659, Validation Loss: -0.3216348886489868
