Epoch: 0, Train Loss: -0.5357476204546563, Validation Loss: -0.5877017974853516
Epoch: 1, Train Loss: -0.6311905593665423, Validation Loss: -0.5518608093261719
Epoch: 2, Train Loss: -0.6234232008297342, Validation Loss: -0.6097291707992554
Epoch: 3, Train Loss: -0.6243465761819345, Validation Loss: -0.6128981113433838
Epoch: 4, Train Loss: -0.6282620690076473, Validation Loss: -0.603590190410614
Epoch: 5, Train Loss: -0.6316248033830033, Validation Loss: -0.5547630190849304
Epoch: 6, Train Loss: -0.6271789043654854, Validation Loss: -0.5588724613189697
Epoch: 7, Train Loss: -0.6306207245297994, Validation Loss: -0.6112942099571228
Epoch: 8, Train Loss: -0.626207953701678, Validation Loss: -0.6130540370941162
Epoch: 9, Train Loss: -0.6296555848388546, Validation Loss: -0.5962610244750977
Epoch: 10, Train Loss: -0.6330691820149842, Validation Loss: -0.6132926344871521
Epoch: 11, Train Loss: -0.6402244871343253, Validation Loss: -0.6106629371643066
Epoch: 12, Train Loss: -0.6394815009266086, Validation Loss: -0.6135972738265991
Epoch: 13, Train Loss: -0.6422604343749772, Validation Loss: -0.613330602645874
Epoch: 14, Train Loss: -0.6278347848020073, Validation Loss: -0.6104511618614197
Epoch: 15, Train Loss: -0.6401994764953707, Validation Loss: -0.6058387756347656
Epoch: 16, Train Loss: -0.6382541510728382, Validation Loss: -0.6124899983406067
Epoch: 17, Train Loss: -0.6433603118195245, Validation Loss: -0.6068095564842224
Epoch: 18, Train Loss: -0.6429648029705871, Validation Loss: -0.6102457046508789
Epoch: 19, Train Loss: -0.6463329554030595, Validation Loss: -0.6138222813606262
Epoch: 20, Train Loss: -0.6436494364826332, Validation Loss: -0.593309223651886
Epoch: 21, Train Loss: -0.6396710420689427, Validation Loss: -0.6134084463119507
Epoch: 22, Train Loss: -0.6411533689153387, Validation Loss: -0.6133106350898743
Epoch: 23, Train Loss: -0.6341096303205903, Validation Loss: -0.6000102162361145
Epoch: 24, Train Loss: -0.6311237038825199, Validation Loss: -0.6000081300735474
Epoch: 25, Train Loss: -0.6343491254580631, Validation Loss: -0.6000752449035645
Epoch: 26, Train Loss: -0.6433303138967403, Validation Loss: -0.6053264141082764
Epoch: 27, Train Loss: -0.6431353342915944, Validation Loss: -0.6166662573814392
Epoch: 28, Train Loss: -0.6491874231480914, Validation Loss: -0.6166541576385498
Epoch: 29, Train Loss: -0.6476720823044358, Validation Loss: -0.6133334040641785
Epoch: 30, Train Loss: -0.6455793335789881, Validation Loss: -0.6133332252502441
Epoch: 31, Train Loss: -0.6443452058722663, Validation Loss: -0.6016929745674133
Epoch: 32, Train Loss: -0.6433568562392108, Validation Loss: -0.6066828966140747
Epoch: 33, Train Loss: -0.6433502119315053, Validation Loss: -0.6166622042655945
Epoch: 34, Train Loss: -0.6467638257131963, Validation Loss: -0.6164331436157227
Epoch: 35, Train Loss: -0.6458795565290588, Validation Loss: -0.6134563088417053
Epoch: 36, Train Loss: -0.6467559834787597, Validation Loss: -0.6113234758377075
Epoch: 37, Train Loss: -0.6533958136035665, Validation Loss: -0.6142400503158569
Epoch: 38, Train Loss: -0.6549504617119382, Validation Loss: -0.613683819770813
Epoch: 39, Train Loss: -0.6509859129327462, Validation Loss: -0.6118857860565186
Epoch: 40, Train Loss: -0.6541847622211605, Validation Loss: -0.6143991351127625
Epoch: 41, Train Loss: -0.6528039919065872, Validation Loss: -0.6135143041610718
Epoch: 42, Train Loss: -0.6522680366372058, Validation Loss: -0.6011320948600769
Epoch: 43, Train Loss: -0.6545470782912906, Validation Loss: -0.602470338344574
Epoch: 44, Train Loss: -0.6544171473283736, Validation Loss: -0.3266667127609253
Epoch: 45, Train Loss: -0.335555555425224, Validation Loss: -0.3266666829586029
Epoch: 46, Train Loss: -0.33555555555767813, Validation Loss: -0.3266666829586029
Epoch: 47, Train Loss: -0.3355555555576783, Validation Loss: -0.3266666829586029
Epoch: 48, Train Loss: -0.3355555555576783, Validation Loss: -0.3266666829586029
Epoch: 49, Train Loss: -0.33555555555767835, Validation Loss: -0.3266666829586029
Epoch: 50, Train Loss: -0.3355555555576784, Validation Loss: -0.3266666829586029
Epoch: 51, Train Loss: -0.3355555555576784, Validation Loss: -0.3266666829586029
Epoch: 52, Train Loss: -0.3355555555576784, Validation Loss: -0.3266666829586029
Epoch: 53, Train Loss: -0.3355555555576785, Validation Loss: -0.3266666829586029
Epoch: 54, Train Loss: -0.3355555555576785, Validation Loss: -0.3266666829586029
Epoch: 55, Train Loss: -0.33555555555767863, Validation Loss: -0.3266666829586029
Epoch: 56, Train Loss: -0.3355555555576788, Validation Loss: -0.3266666829586029
Epoch: 57, Train Loss: -0.3355555555576789, Validation Loss: -0.3266666829586029
Epoch: 58, Train Loss: -0.335555555557679, Validation Loss: -0.3266666829586029
Epoch: 59, Train Loss: -0.33555555555767924, Validation Loss: -0.3266666829586029
Epoch: 60, Train Loss: -0.33555555555767963, Validation Loss: -0.3266666829586029
Epoch: 61, Train Loss: -0.3355555555576801, Validation Loss: -0.3266666829586029
