Epoch: 0, Train Loss: -0.3916865807262042, Validation Loss: -0.47512608766555786
Epoch: 1, Train Loss: -0.6056831357878669, Validation Loss: -0.6185063719749451
Epoch: 2, Train Loss: -0.6092344389279779, Validation Loss: -0.628026008605957
Epoch: 3, Train Loss: -0.6203161645159322, Validation Loss: -0.6192491054534912
Epoch: 4, Train Loss: -0.6194609816121258, Validation Loss: -0.627509593963623
Epoch: 5, Train Loss: -0.6304002998944662, Validation Loss: -0.6405717730522156
Epoch: 6, Train Loss: -0.630527592167044, Validation Loss: -0.6398032307624817
Epoch: 7, Train Loss: -0.6350370037477313, Validation Loss: -0.6403539180755615
Epoch: 8, Train Loss: -0.6262098274528652, Validation Loss: -0.6317798495292664
Epoch: 9, Train Loss: -0.6309098731818465, Validation Loss: -0.6308481693267822
Epoch: 10, Train Loss: -0.6255582294749376, Validation Loss: -0.6372190713882446
Epoch: 11, Train Loss: -0.6281425833259427, Validation Loss: -0.6374778747558594
Epoch: 12, Train Loss: -0.6393787898539616, Validation Loss: -0.6427753567695618
Epoch: 13, Train Loss: -0.6354755135224401, Validation Loss: -0.6431010961532593
Epoch: 14, Train Loss: -0.6374644479389524, Validation Loss: -0.6427397131919861
Epoch: 15, Train Loss: -0.641389924759786, Validation Loss: -0.6401462554931641
Epoch: 16, Train Loss: -0.6373908329247979, Validation Loss: -0.641197919845581
Epoch: 17, Train Loss: -0.6357942022780453, Validation Loss: -0.6400490403175354
Epoch: 18, Train Loss: -0.6389853011125695, Validation Loss: -0.6398915648460388
Epoch: 19, Train Loss: -0.6356919514840311, Validation Loss: -0.6400483250617981
Epoch: 20, Train Loss: -0.6361452294222761, Validation Loss: -0.6421165466308594
Epoch: 21, Train Loss: -0.6357384115063756, Validation Loss: -0.6370512247085571
Epoch: 22, Train Loss: -0.6421943863942097, Validation Loss: -0.6434091925621033
Epoch: 23, Train Loss: -0.6411563813444939, Validation Loss: -0.6369364857673645
Epoch: 24, Train Loss: -0.6374075577226178, Validation Loss: -0.6461745500564575
Epoch: 25, Train Loss: -0.6418172904687475, Validation Loss: -0.6430345177650452
Epoch: 26, Train Loss: -0.6360084000929904, Validation Loss: -0.6424967050552368
Epoch: 27, Train Loss: -0.6376585355065063, Validation Loss: -0.6433333158493042
Epoch: 28, Train Loss: -0.641293038313466, Validation Loss: -0.6431221961975098
Epoch: 29, Train Loss: -0.6420561391465918, Validation Loss: -0.6405065655708313
Epoch: 30, Train Loss: -0.6430757152319312, Validation Loss: -0.6400373578071594
Epoch: 31, Train Loss: -0.6330897422657723, Validation Loss: -0.640221893787384
Epoch: 32, Train Loss: -0.6422753032075502, Validation Loss: -0.6412577033042908
Epoch: 33, Train Loss: -0.6402756220597988, Validation Loss: -0.6390329003334045
Epoch: 34, Train Loss: -0.6352598219239152, Validation Loss: -0.6433493494987488
Epoch: 35, Train Loss: -0.6392041756187066, Validation Loss: -0.6233986616134644
Epoch: 36, Train Loss: -0.6328394982365377, Validation Loss: -0.643333375453949
Epoch: 37, Train Loss: -0.6405160781895612, Validation Loss: -0.6413149833679199
Epoch: 38, Train Loss: -0.6359104162732494, Validation Loss: -0.6425577402114868
Epoch: 39, Train Loss: -0.6395373400719475, Validation Loss: -0.6468188762664795
Epoch: 40, Train Loss: -0.6432012686329116, Validation Loss: -0.640004575252533
Epoch: 41, Train Loss: -0.6327765996475581, Validation Loss: -0.6441158056259155
Epoch: 42, Train Loss: -0.6402309437865091, Validation Loss: -0.6433916091918945
Epoch: 43, Train Loss: -0.6444615553129701, Validation Loss: -0.6453753709793091
Epoch: 44, Train Loss: -0.6434086914230567, Validation Loss: -0.641799807548523
Epoch: 45, Train Loss: -0.6425127787237683, Validation Loss: -0.643713653087616
Epoch: 46, Train Loss: -0.642956397069708, Validation Loss: -0.6442797183990479
Epoch: 47, Train Loss: -0.6438205304013186, Validation Loss: -0.6420924663543701
Epoch: 48, Train Loss: -0.6444726142475026, Validation Loss: -0.6509184241294861
Epoch: 49, Train Loss: -0.6414363693731899, Validation Loss: -0.6407463550567627
Epoch: 50, Train Loss: -0.6302448337209378, Validation Loss: -0.6387527585029602
Epoch: 51, Train Loss: -0.6178627604337965, Validation Loss: -0.64204341173172
Epoch: 52, Train Loss: -0.6429336077923624, Validation Loss: -0.6408616900444031
Epoch: 53, Train Loss: -0.6407200451137823, Validation Loss: -0.6442058682441711
Epoch: 54, Train Loss: -0.6457988086543822, Validation Loss: -0.6414859294891357
Epoch: 55, Train Loss: -0.6443698105781004, Validation Loss: -0.6419402360916138
Epoch: 56, Train Loss: -0.6459682938418185, Validation Loss: -0.6428966522216797
Epoch: 57, Train Loss: -0.6479416208019231, Validation Loss: -0.6467242240905762
Epoch: 58, Train Loss: -0.6460024867865195, Validation Loss: -0.6481165289878845
Epoch: 59, Train Loss: -0.6464909291863551, Validation Loss: -0.643332302570343
Epoch: 60, Train Loss: -0.6406356790238011, Validation Loss: -0.642170786857605
Epoch: 61, Train Loss: -0.6468441708156657, Validation Loss: -0.6459149122238159
Epoch: 62, Train Loss: -0.650039278200969, Validation Loss: -0.6436142325401306
Epoch: 63, Train Loss: -0.6463664406619244, Validation Loss: -0.6469550728797913
Epoch: 64, Train Loss: -0.6472553003075264, Validation Loss: -0.6418763995170593
Epoch: 65, Train Loss: -0.6504147270288659, Validation Loss: -0.6426481008529663
Epoch: 66, Train Loss: -0.6541090226164529, Validation Loss: -0.6414913535118103
Epoch: 67, Train Loss: -0.6511198455129156, Validation Loss: -0.6431723833084106
Epoch: 68, Train Loss: -0.6500052607312807, Validation Loss: -0.6446637511253357
Epoch: 69, Train Loss: -0.6526574660405402, Validation Loss: -0.6492082476615906
Epoch: 70, Train Loss: -0.6511090374212467, Validation Loss: -0.6386248469352722
Epoch: 71, Train Loss: -0.6284574510874773, Validation Loss: -0.6378937363624573
Epoch: 72, Train Loss: -0.652667933113254, Validation Loss: -0.6492719054222107
Epoch: 73, Train Loss: -0.6517288777041995, Validation Loss: -0.6471195816993713
Epoch: 74, Train Loss: -0.654498743336234, Validation Loss: -0.644402265548706
Epoch: 75, Train Loss: -0.6502834217010357, Validation Loss: -0.6463695764541626
Epoch: 76, Train Loss: -0.6635965116825968, Validation Loss: -0.6437476277351379
Epoch: 77, Train Loss: -0.6474893402520282, Validation Loss: -0.6416738629341125
Epoch: 78, Train Loss: -0.6339747641129588, Validation Loss: -0.6432720422744751
Epoch: 79, Train Loss: -0.631407028311958, Validation Loss: -0.6498579382896423
Epoch: 80, Train Loss: -0.6382090718914437, Validation Loss: -0.643333375453949
Epoch: 81, Train Loss: -0.6314686685352212, Validation Loss: -0.6433315277099609
Epoch: 82, Train Loss: -0.6340899171663792, Validation Loss: -0.6401296257972717
Epoch: 83, Train Loss: -0.63806246998777, Validation Loss: -0.6400104761123657
Epoch: 84, Train Loss: -0.6318708674177184, Validation Loss: -0.6366318464279175
Epoch: 85, Train Loss: -0.6159746957111665, Validation Loss: -0.640001654624939
Epoch: 86, Train Loss: -0.6406094207182723, Validation Loss: -0.6452429890632629
Epoch: 87, Train Loss: -0.6344190147458817, Validation Loss: -0.6466348171234131
Epoch: 88, Train Loss: -0.6426627950459526, Validation Loss: -0.6466624140739441
Epoch: 89, Train Loss: -0.6395481805935928, Validation Loss: -0.6466667056083679
Epoch: 90, Train Loss: -0.6411102964359746, Validation Loss: -0.6466667056083679
Epoch: 91, Train Loss: -0.623181375426595, Validation Loss: -0.6433337330818176
Epoch: 92, Train Loss: -0.6421727615730262, Validation Loss: -0.6413480639457703
Epoch: 93, Train Loss: -0.6403578801667474, Validation Loss: -0.6466341018676758
Epoch: 94, Train Loss: -0.644265466986858, Validation Loss: -0.6433331966400146
Epoch: 95, Train Loss: -0.637663862532429, Validation Loss: -0.6399998068809509
Epoch: 96, Train Loss: -0.6285779826769966, Validation Loss: -0.6448025107383728
Epoch: 97, Train Loss: -0.6399482089237917, Validation Loss: -0.6466298699378967
Epoch: 98, Train Loss: -0.6418009288805879, Validation Loss: -0.643319308757782
Epoch: 99, Train Loss: -0.6431006068642138, Validation Loss: -0.643470287322998
Epoch: 100, Train Loss: -0.6420890491011337, Validation Loss: -0.6399854421615601
