Epoch: 0, Train Loss: -0.4405364978512646, Validation Loss: -0.6359109878540039
Epoch: 1, Train Loss: -0.6163929036495798, Validation Loss: -0.6498847603797913
Epoch: 2, Train Loss: -0.6456116135797331, Validation Loss: -0.7249648571014404
Epoch: 3, Train Loss: -0.6895059811057858, Validation Loss: -0.7771156430244446
Epoch: 4, Train Loss: -0.7250788493399327, Validation Loss: -0.6808035373687744
Epoch: 5, Train Loss: -0.7468265979042008, Validation Loss: -0.7728895545005798
Epoch: 6, Train Loss: -0.7409187095319708, Validation Loss: -0.7754634022712708
Epoch: 7, Train Loss: -0.7582223255756665, Validation Loss: -0.782380223274231
Epoch: 8, Train Loss: -0.7390841974570274, Validation Loss: -0.7559778690338135
Epoch: 9, Train Loss: -0.7316855576792466, Validation Loss: -0.7397801876068115
Epoch: 10, Train Loss: -0.756046623354983, Validation Loss: -0.7856693267822266
Epoch: 11, Train Loss: -0.772595791644854, Validation Loss: -0.7864356637001038
Epoch: 12, Train Loss: -0.7726710364365457, Validation Loss: -0.7189382314682007
Epoch: 13, Train Loss: -0.7596034705117878, Validation Loss: -0.7425632476806641
Epoch: 14, Train Loss: -0.7678223202199619, Validation Loss: -0.76218581199646
Epoch: 15, Train Loss: -0.7775928463871383, Validation Loss: -0.7809540629386902
Epoch: 16, Train Loss: -0.7657554395100632, Validation Loss: -0.8089499473571777
Epoch: 17, Train Loss: -0.792014862536287, Validation Loss: -0.8096901178359985
Epoch: 18, Train Loss: -0.7787943522500929, Validation Loss: -0.7839943766593933
Epoch: 19, Train Loss: -0.7850893014066881, Validation Loss: -0.7908352613449097
Epoch: 20, Train Loss: -0.7898124108126849, Validation Loss: -0.7449878454208374
Epoch: 21, Train Loss: -0.7640775418698751, Validation Loss: -0.8144747018814087
Epoch: 22, Train Loss: -0.7869814989748606, Validation Loss: -0.8034822344779968
Epoch: 23, Train Loss: -0.7924228039837982, Validation Loss: -0.7769387364387512
Epoch: 24, Train Loss: -0.8077988691456855, Validation Loss: -0.809941291809082
Epoch: 25, Train Loss: -0.8075598806922659, Validation Loss: -0.7835532426834106
Epoch: 26, Train Loss: -0.7721630256373043, Validation Loss: -0.7777957320213318
Epoch: 27, Train Loss: -0.805918786191659, Validation Loss: -0.714329719543457
Epoch: 28, Train Loss: -0.8072624209681178, Validation Loss: -0.8097596764564514
Epoch: 29, Train Loss: -0.8078923146074932, Validation Loss: -0.7904000282287598
Epoch: 30, Train Loss: -0.8032715434098324, Validation Loss: -0.8158551454544067
Epoch: 31, Train Loss: -0.8032989069366602, Validation Loss: -0.7965373396873474
Epoch: 32, Train Loss: -0.8072753886718569, Validation Loss: -0.8090299963951111
Epoch: 33, Train Loss: -0.7964805985005545, Validation Loss: -0.8045315146446228
Epoch: 34, Train Loss: -0.8299897621740228, Validation Loss: -0.8042020201683044
Epoch: 35, Train Loss: -0.8132112585299911, Validation Loss: -0.8130191564559937
Epoch: 36, Train Loss: -0.7885857895081301, Validation Loss: -0.7978200316429138
Epoch: 37, Train Loss: -0.7988595322802811, Validation Loss: -0.791188657283783
Epoch: 38, Train Loss: -0.8146656244841683, Validation Loss: -0.789160430431366
Epoch: 39, Train Loss: -0.8326088059318059, Validation Loss: -0.8137937784194946
Epoch: 40, Train Loss: -0.8237748534538667, Validation Loss: -0.7829849720001221
Epoch: 41, Train Loss: -0.8254018235061866, Validation Loss: -0.7761850953102112
Epoch: 42, Train Loss: -0.8285991756164389, Validation Loss: -0.8088252544403076
Epoch: 43, Train Loss: -0.8156573161164901, Validation Loss: -0.8186185359954834
Epoch: 44, Train Loss: -0.8303233267389916, Validation Loss: -0.8029130101203918
Epoch: 45, Train Loss: -0.7993527835004789, Validation Loss: -0.7652263045310974
Epoch: 46, Train Loss: -0.821330423241753, Validation Loss: -0.8028959631919861
Epoch: 47, Train Loss: -0.8226782729967149, Validation Loss: -0.7847174406051636
Epoch: 48, Train Loss: -0.809336687991928, Validation Loss: -0.7980014681816101
Epoch: 49, Train Loss: -0.8169729925642325, Validation Loss: -0.7876576781272888
Epoch: 50, Train Loss: -0.8238774477223811, Validation Loss: -0.7705504298210144
Epoch: 51, Train Loss: -0.8366960186477478, Validation Loss: -0.8332844376564026
Epoch: 52, Train Loss: -0.8460135725486223, Validation Loss: -0.8233221173286438
Epoch: 53, Train Loss: -0.8242022472243209, Validation Loss: -0.7242956161499023
Epoch: 54, Train Loss: -0.8463763080416543, Validation Loss: -0.8219971656799316
Epoch: 55, Train Loss: -0.8559223923239875, Validation Loss: -0.8394720554351807
Epoch: 56, Train Loss: -0.8429632980829382, Validation Loss: -0.8059141039848328
