Epoch: 0, Train Loss: -0.32632690891054356, Validation Loss: -0.38080888986587524
Epoch: 1, Train Loss: -0.3407560419861814, Validation Loss: -0.2981920540332794
Epoch: 2, Train Loss: -0.34269526312554366, Validation Loss: -0.27778008580207825
Epoch: 3, Train Loss: -0.35697933462013476, Validation Loss: -0.28921112418174744
Epoch: 4, Train Loss: -0.3670324384117541, Validation Loss: -0.331319659948349
Epoch: 5, Train Loss: -0.40395950073449055, Validation Loss: -0.35954219102859497
Epoch: 6, Train Loss: -0.5470515381857967, Validation Loss: -0.481944739818573
Epoch: 7, Train Loss: -0.6507788801828948, Validation Loss: -0.4742700755596161
Epoch: 8, Train Loss: -0.6869657389589429, Validation Loss: -0.4896583557128906
Epoch: 9, Train Loss: -0.7290955397987438, Validation Loss: -0.4611305892467499
Epoch: 10, Train Loss: -0.7380884890049174, Validation Loss: -0.43811798095703125
Epoch: 11, Train Loss: -0.7460628400935616, Validation Loss: -0.3628959059715271
Epoch: 12, Train Loss: -0.77414537694818, Validation Loss: -0.4854658246040344
Epoch: 13, Train Loss: -0.7603243908360001, Validation Loss: -0.4423447251319885
Epoch: 14, Train Loss: -0.7736422636810578, Validation Loss: -0.291762113571167
Epoch: 15, Train Loss: -0.7511452877404706, Validation Loss: -0.3259253203868866
Epoch: 16, Train Loss: -0.7083277240525694, Validation Loss: -0.4562876522541046
Epoch: 17, Train Loss: -0.7492320417337713, Validation Loss: -0.47424817085266113
Epoch: 18, Train Loss: -0.7656938637115155, Validation Loss: -0.44665491580963135
Epoch: 19, Train Loss: -0.773393464501638, Validation Loss: -0.4440399408340454
Epoch: 20, Train Loss: -0.7520614206864623, Validation Loss: -0.4466666877269745
Epoch: 21, Train Loss: -0.7528875663476948, Validation Loss: -0.4432644248008728
Epoch: 22, Train Loss: -0.767387948625286, Validation Loss: -0.4437496066093445
Epoch: 23, Train Loss: -0.76714460949333, Validation Loss: -0.43969255685806274
Epoch: 24, Train Loss: -0.7927590417568915, Validation Loss: -0.4433361887931824
Epoch: 25, Train Loss: -0.7848799849383166, Validation Loss: -0.4418996274471283
Epoch: 26, Train Loss: -0.7825259702739714, Validation Loss: -0.36915144324302673
Epoch: 27, Train Loss: -0.7589316035227276, Validation Loss: -0.35233229398727417
Epoch: 28, Train Loss: -0.70781438402712, Validation Loss: -0.48637041449546814
Epoch: 29, Train Loss: -0.6044500244610483, Validation Loss: -0.2811599671840668
Epoch: 30, Train Loss: -0.7607532534519824, Validation Loss: -0.4446690082550049
Epoch: 31, Train Loss: -0.8127864811969553, Validation Loss: -0.44333237409591675
Epoch: 32, Train Loss: -0.7804163548415276, Validation Loss: -0.44668030738830566
Epoch: 33, Train Loss: -0.6507355541413922, Validation Loss: -0.4296671748161316
Epoch: 34, Train Loss: -0.7755057824390151, Validation Loss: -0.4466666877269745
Epoch: 35, Train Loss: -0.7609830740320461, Validation Loss: -0.4387989342212677
Epoch: 36, Train Loss: -0.7677598416714356, Validation Loss: -0.4466666877269745
Epoch: 37, Train Loss: -0.7560095005683782, Validation Loss: -0.31080952286720276
Epoch: 38, Train Loss: -0.763996435927505, Validation Loss: -0.328911155462265
Epoch: 39, Train Loss: -0.7866274050263011, Validation Loss: -0.45000728964805603
Epoch: 40, Train Loss: -0.8008156564593489, Validation Loss: -0.4433788061141968
Epoch: 41, Train Loss: -0.766179567240652, Validation Loss: -0.43205901980400085
Epoch: 42, Train Loss: -0.7835130354993001, Validation Loss: -0.43770065903663635
Epoch: 43, Train Loss: -0.772166636719266, Validation Loss: -0.440000981092453
Epoch: 44, Train Loss: -0.7862875281204921, Validation Loss: -0.32902607321739197
Epoch: 45, Train Loss: -0.7785726678541014, Validation Loss: -0.3823368549346924
Epoch: 46, Train Loss: -0.780550758618181, Validation Loss: -0.4618249237537384
Epoch: 47, Train Loss: -0.7513673633579396, Validation Loss: -0.4533332288265228
Epoch: 48, Train Loss: -0.7635417312471665, Validation Loss: -0.4332955479621887
Epoch: 49, Train Loss: -0.7645215001235152, Validation Loss: -0.4531938135623932
Epoch: 50, Train Loss: -0.7838476838563665, Validation Loss: -0.36107000708580017
Epoch: 51, Train Loss: -0.6574171348098936, Validation Loss: -0.4817614257335663
Epoch: 52, Train Loss: -0.7864901273668696, Validation Loss: -0.42780667543411255
Epoch: 53, Train Loss: -0.8026626071514436, Validation Loss: -0.31810033321380615
Epoch: 54, Train Loss: -0.773893687591703, Validation Loss: -0.2790178060531616
Epoch: 55, Train Loss: -0.766672462376867, Validation Loss: -0.260306715965271
Epoch: 56, Train Loss: -0.6859536100483157, Validation Loss: -0.31052303314208984
Epoch: 57, Train Loss: -0.7913252693541647, Validation Loss: -0.3385513126850128
Epoch: 58, Train Loss: -0.7099177882574366, Validation Loss: -0.2469303458929062
Epoch: 59, Train Loss: -0.8019181479920003, Validation Loss: -0.2522410452365875
Epoch: 60, Train Loss: -0.7611144045638195, Validation Loss: -0.38645195960998535
Epoch: 61, Train Loss: -0.8008831903483702, Validation Loss: -0.2956192195415497
Epoch: 62, Train Loss: -0.7937162259568287, Validation Loss: -0.26909494400024414
Epoch: 63, Train Loss: -0.784757217488953, Validation Loss: -0.3258901834487915
Epoch: 64, Train Loss: -0.6826758900949083, Validation Loss: -0.5067955851554871
Epoch: 65, Train Loss: -0.631031044717113, Validation Loss: -0.4899998605251312
Epoch: 66, Train Loss: -0.6906479735387571, Validation Loss: -0.35146552324295044
Epoch: 67, Train Loss: -0.7941819303897169, Validation Loss: -0.44632813334465027
Epoch: 68, Train Loss: -0.7612738397421415, Validation Loss: -0.4452497065067291
Epoch: 69, Train Loss: -0.7938056014733896, Validation Loss: -0.3081301152706146
Epoch: 70, Train Loss: -0.7432941307251535, Validation Loss: -0.30458495020866394
Epoch: 71, Train Loss: -0.7791275036601079, Validation Loss: -0.4699999988079071
Epoch: 72, Train Loss: -0.7664601063728415, Validation Loss: -0.41027358174324036
Epoch: 73, Train Loss: -0.8055290111162774, Validation Loss: -0.3447311222553253
