Epoch: 0, Train Loss: -0.5786732645934277, Validation Loss: -0.5632662773132324
Epoch: 1, Train Loss: -0.6125198735506835, Validation Loss: -0.5641315579414368
Epoch: 2, Train Loss: -0.6088810387150386, Validation Loss: -0.6240343451499939
Epoch: 3, Train Loss: -0.6199659599068061, Validation Loss: -0.6188856959342957
Epoch: 4, Train Loss: -0.6086238693887496, Validation Loss: -0.6121395230293274
Epoch: 5, Train Loss: -0.6210791131941862, Validation Loss: -0.6400279402732849
Epoch: 6, Train Loss: -0.6299399667050899, Validation Loss: -0.6457599997520447
Epoch: 7, Train Loss: -0.6299627865766008, Validation Loss: -0.6441391706466675
Epoch: 8, Train Loss: -0.4583152512865786, Validation Loss: -0.389999657869339
Epoch: 9, Train Loss: -0.3144448781749162, Validation Loss: -0.3899998962879181
Epoch: 10, Train Loss: -0.3144460596010552, Validation Loss: -0.39000365138053894
Epoch: 11, Train Loss: -0.512247731503429, Validation Loss: -0.6438472867012024
Epoch: 12, Train Loss: -0.6304008040688469, Validation Loss: -0.6422679424285889
Epoch: 13, Train Loss: -0.6312695737001778, Validation Loss: -0.6412314772605896
Epoch: 14, Train Loss: -0.634470458469555, Validation Loss: -0.6468514204025269
Epoch: 15, Train Loss: -0.6332617947280551, Validation Loss: -0.6429106593132019
Epoch: 16, Train Loss: -0.6302930327199929, Validation Loss: -0.6433919668197632
Epoch: 17, Train Loss: -0.5535318215217285, Validation Loss: -0.6402103900909424
Epoch: 18, Train Loss: -0.630842473259142, Validation Loss: -0.6363065838813782
Epoch: 19, Train Loss: -0.6341438276773226, Validation Loss: -0.6453313827514648
Epoch: 20, Train Loss: -0.6205249398844077, Validation Loss: -0.6429126262664795
Epoch: 21, Train Loss: -0.6390337353851469, Validation Loss: -0.6436363458633423
Epoch: 22, Train Loss: -0.63509628360901, Validation Loss: -0.645942211151123
Epoch: 23, Train Loss: -0.6364221931295879, Validation Loss: -0.6466683745384216
Epoch: 24, Train Loss: -0.616526861809017, Validation Loss: -0.6440828442573547
Epoch: 25, Train Loss: -0.6317268425177183, Validation Loss: -0.643333375453949
Epoch: 26, Train Loss: -0.6341545183751632, Validation Loss: -0.6433343291282654
Epoch: 27, Train Loss: -0.6345032620714471, Validation Loss: -0.6422785520553589
Epoch: 28, Train Loss: -0.6254136051348647, Validation Loss: -0.6331697106361389
Epoch: 29, Train Loss: -0.6248494873966925, Validation Loss: -0.6335722208023071
Epoch: 30, Train Loss: -0.6378159857744046, Validation Loss: -0.6433348655700684
Epoch: 31, Train Loss: -0.6377636373636986, Validation Loss: -0.6433330774307251
Epoch: 32, Train Loss: -0.6387243321432515, Validation Loss: -0.6433354616165161
Epoch: 33, Train Loss: -0.638932959381387, Validation Loss: -0.6433333158493042
Epoch: 34, Train Loss: -0.6041661849793079, Validation Loss: -0.6436929702758789
Epoch: 35, Train Loss: -0.6382111642981929, Validation Loss: -0.6435268521308899
Epoch: 36, Train Loss: -0.639955713312616, Validation Loss: -0.6412824988365173
Epoch: 37, Train Loss: -0.6420033281418229, Validation Loss: -0.641884446144104
Epoch: 38, Train Loss: -0.6410989692845096, Validation Loss: -0.6458365321159363
Epoch: 39, Train Loss: -0.6414943408115765, Validation Loss: -0.6441604495048523
Epoch: 40, Train Loss: -0.6469325325740544, Validation Loss: -0.6409288048744202
Epoch: 41, Train Loss: -0.6434834506153007, Validation Loss: -0.6334681510925293
Epoch: 42, Train Loss: -0.643932961115163, Validation Loss: -0.6321514248847961
Epoch: 43, Train Loss: -0.6485995706472739, Validation Loss: -0.6375083923339844
Epoch: 44, Train Loss: -0.6515432899363671, Validation Loss: -0.6252471804618835
Epoch: 45, Train Loss: -0.643711088467143, Validation Loss: -0.6365333199501038
Epoch: 46, Train Loss: -0.6429510412114318, Validation Loss: -0.6353949904441833
Epoch: 47, Train Loss: -0.655236438439958, Validation Loss: -0.6332558393478394
Epoch: 48, Train Loss: -0.6572389585594707, Validation Loss: -0.5677953958511353
Epoch: 49, Train Loss: -0.6557834585661697, Validation Loss: -0.5725076794624329
Epoch: 50, Train Loss: -0.6549994408456778, Validation Loss: -0.5722690224647522
Epoch: 51, Train Loss: -0.6633970540220144, Validation Loss: -0.5701736211776733
Epoch: 52, Train Loss: -0.6644816978886979, Validation Loss: -0.5716299414634705
Epoch: 53, Train Loss: -0.6649612775080636, Validation Loss: -0.5702642798423767
Epoch: 54, Train Loss: -0.6591017806543348, Validation Loss: -0.5734657645225525
Epoch: 55, Train Loss: -0.6650838227510688, Validation Loss: -0.5722354650497437
Epoch: 56, Train Loss: -0.6675578351934934, Validation Loss: -0.570708155632019
Epoch: 57, Train Loss: -0.652251594176195, Validation Loss: -0.5672590732574463
Epoch: 58, Train Loss: -0.6712936901738309, Validation Loss: -0.5733310580253601
Epoch: 59, Train Loss: -0.6679668798112917, Validation Loss: -0.5734696984291077
Epoch: 60, Train Loss: -0.6634543380997554, Validation Loss: -0.5666692852973938
Epoch: 61, Train Loss: -0.6582222965595983, Validation Loss: -0.572878360748291
Epoch: 62, Train Loss: -0.6574665927784686, Validation Loss: -0.6366702318191528
Epoch: 63, Train Loss: -0.65065868327577, Validation Loss: -0.640045166015625
Epoch: 64, Train Loss: -0.6531220932731859, Validation Loss: -0.6433199644088745
Epoch: 65, Train Loss: -0.6591533918623508, Validation Loss: -0.609573483467102
Epoch: 66, Train Loss: -0.6611800971864902, Validation Loss: -0.6396561861038208
Epoch: 67, Train Loss: -0.6605029620693316, Validation Loss: -0.616960883140564
Epoch: 68, Train Loss: -0.6830402996909384, Validation Loss: -0.5863326787948608
Epoch: 69, Train Loss: -0.6632297528901325, Validation Loss: -0.5796407461166382
Epoch: 70, Train Loss: -0.6721694183613305, Validation Loss: -0.5766874551773071
Epoch: 71, Train Loss: -0.6688243614308969, Validation Loss: -0.5766658782958984
Epoch: 72, Train Loss: -0.6690032095139236, Validation Loss: -0.5766718983650208
