Epoch: 0, Train Loss: -0.3343211637602912, Validation Loss: -0.3356696665287018
Epoch: 1, Train Loss: -0.3923935135205587, Validation Loss: -0.42964470386505127
Epoch: 2, Train Loss: -0.46769063274065653, Validation Loss: -0.4381178319454193
Epoch: 3, Train Loss: -0.5101335578494601, Validation Loss: -0.45524081587791443
Epoch: 4, Train Loss: -0.5763164507018195, Validation Loss: -0.5183005332946777
Epoch: 5, Train Loss: -0.7077952093548245, Validation Loss: -0.5863021016120911
Epoch: 6, Train Loss: -0.7668535550435384, Validation Loss: -0.5740171670913696
Epoch: 7, Train Loss: -0.8558197922176785, Validation Loss: -0.564022958278656
Epoch: 8, Train Loss: -0.8493081278271145, Validation Loss: -0.5614875555038452
Epoch: 9, Train Loss: -0.883308059639401, Validation Loss: -0.5684813857078552
Epoch: 10, Train Loss: -0.8751027093993293, Validation Loss: -0.574335515499115
Epoch: 11, Train Loss: -0.8932034518983629, Validation Loss: -0.5641014575958252
Epoch: 12, Train Loss: -0.9127241293589274, Validation Loss: -0.5664460062980652
Epoch: 13, Train Loss: -0.9126402709219191, Validation Loss: -0.5484609603881836
Epoch: 14, Train Loss: -0.9157425893677605, Validation Loss: -0.5465710163116455
Epoch: 15, Train Loss: -0.9183257699012757, Validation Loss: -0.534003734588623
Epoch: 16, Train Loss: -0.9367482728428311, Validation Loss: -0.5463951826095581
Epoch: 17, Train Loss: -0.9251619471444024, Validation Loss: -0.5089921951293945
Epoch: 18, Train Loss: -0.9114243123266432, Validation Loss: -0.5651464462280273
Epoch: 19, Train Loss: -0.9305980523427327, Validation Loss: -0.5678879618644714
Epoch: 20, Train Loss: -0.9315741552246941, Validation Loss: -0.5921467542648315
Epoch: 21, Train Loss: -0.9519832756784227, Validation Loss: -0.5854203701019287
Epoch: 22, Train Loss: -0.9656233814027574, Validation Loss: -0.5962247252464294
Epoch: 23, Train Loss: -0.9622282981872559, Validation Loss: -0.5851690173149109
Epoch: 24, Train Loss: -0.9490267925792271, Validation Loss: -0.5881747603416443
Epoch: 25, Train Loss: -0.9601756691932678, Validation Loss: -0.5809682607650757
Epoch: 26, Train Loss: -0.971075869931115, Validation Loss: -0.5863209366798401
Epoch: 27, Train Loss: -0.972201222843594, Validation Loss: -0.5773031115531921
Epoch: 28, Train Loss: -0.972665524482727, Validation Loss: -0.5723129510879517
Epoch: 29, Train Loss: -0.9697506785392761, Validation Loss: -0.5808189511299133
Epoch: 30, Train Loss: -0.9746001548237271, Validation Loss: -0.5950125455856323
Epoch: 31, Train Loss: -0.9792945014105903, Validation Loss: -0.5854951739311218
Epoch: 32, Train Loss: -0.9759581896993849, Validation Loss: -0.5666544437408447
Epoch: 33, Train Loss: -0.9812362803353204, Validation Loss: -0.5782477855682373
Epoch: 34, Train Loss: -0.9727515485551622, Validation Loss: -0.5857802629470825
Epoch: 35, Train Loss: -0.97836774720086, Validation Loss: -0.5759063959121704
Epoch: 36, Train Loss: -0.9790254712104798, Validation Loss: -0.5802680850028992
Epoch: 37, Train Loss: -0.9831661158137851, Validation Loss: -0.5767800211906433
Epoch: 38, Train Loss: -0.9805893328454759, Validation Loss: -0.5639387965202332
Epoch: 39, Train Loss: -0.9885541306601631, Validation Loss: -0.5694152116775513
Epoch: 40, Train Loss: -0.9854248656166924, Validation Loss: -0.5753533840179443
Epoch: 41, Train Loss: -0.9821910368071662, Validation Loss: -0.5868309736251831
Epoch: 42, Train Loss: -0.9850210984547932, Validation Loss: -0.5764167904853821
Epoch: 43, Train Loss: -0.9808258387777541, Validation Loss: -0.5984331965446472
Epoch: 44, Train Loss: -0.9818936268488566, Validation Loss: -0.5922215580940247
Epoch: 45, Train Loss: -0.9879603160752191, Validation Loss: -0.5879200100898743
Epoch: 46, Train Loss: -0.9878054751290215, Validation Loss: -0.5844804644584656
Epoch: 47, Train Loss: -0.988200244638655, Validation Loss: -0.5710906982421875
Epoch: 48, Train Loss: -0.9811546312438117, Validation Loss: -0.5812872052192688
Epoch: 49, Train Loss: -0.9829552637206184, Validation Loss: -0.5717047452926636
Epoch: 50, Train Loss: -0.9851153280999926, Validation Loss: -0.5689520239830017
Epoch: 51, Train Loss: -0.9892464452319675, Validation Loss: -0.5505298972129822
Epoch: 52, Train Loss: -0.9819433609644572, Validation Loss: -0.5697494745254517
Epoch: 53, Train Loss: -0.9818554745780097, Validation Loss: -0.5778542160987854
Epoch: 54, Train Loss: -0.9884873535897997, Validation Loss: -0.5870699286460876
Epoch: 55, Train Loss: -0.9852423694398668, Validation Loss: -0.5772808790206909
Epoch: 56, Train Loss: -0.9876502924495273, Validation Loss: -0.5824159383773804
Epoch: 57, Train Loss: -0.9864832957585653, Validation Loss: -0.5742213129997253
Epoch: 58, Train Loss: -0.9823491851488749, Validation Loss: -0.5657623410224915
Epoch: 59, Train Loss: -0.9855041225751241, Validation Loss: -0.5761125087738037
Epoch: 60, Train Loss: -0.9887289749251471, Validation Loss: -0.5742183327674866
Epoch: 61, Train Loss: -0.9862132204903497, Validation Loss: -0.5774651765823364
Epoch: 62, Train Loss: -0.9873614456918505, Validation Loss: -0.5828078389167786
Epoch: 63, Train Loss: -0.9907635463608636, Validation Loss: -0.578925609588623
Epoch: 64, Train Loss: -0.9904721829626295, Validation Loss: -0.573712944984436
Epoch: 65, Train Loss: -0.990979458226098, Validation Loss: -0.5651863217353821
Epoch: 66, Train Loss: -0.9892687850528293, Validation Loss: -0.5626810789108276
Epoch: 67, Train Loss: -0.9868408825662401, Validation Loss: -0.5752800703048706
Epoch: 68, Train Loss: -0.986869588163164, Validation Loss: -0.572712242603302
Epoch: 69, Train Loss: -0.9910868075158861, Validation Loss: -0.5825870633125305
Epoch: 70, Train Loss: -0.9866074747509427, Validation Loss: -0.6039815545082092
Epoch: 71, Train Loss: -0.9871827085812886, Validation Loss: -0.5971062183380127
Epoch: 72, Train Loss: -0.9873821086353726, Validation Loss: -0.6033534407615662
Epoch: 73, Train Loss: -0.986965705288781, Validation Loss: -0.599707841873169
Epoch: 74, Train Loss: -0.9885011871655782, Validation Loss: -0.6004388332366943
Epoch: 75, Train Loss: -0.9875900348027548, Validation Loss: -0.5887760519981384
Epoch: 76, Train Loss: -0.9872849133279589, Validation Loss: -0.608879566192627
Epoch: 77, Train Loss: -0.9900061620606316, Validation Loss: -0.6264755129814148
Epoch: 78, Train Loss: -0.9876739184061686, Validation Loss: -0.6232781410217285
Epoch: 79, Train Loss: -0.9908996038966709, Validation Loss: -0.6225237846374512
Epoch: 80, Train Loss: -0.9845099714067247, Validation Loss: -0.6242371201515198
Epoch: 81, Train Loss: -0.9855448524157207, Validation Loss: -0.6319425106048584
Epoch: 82, Train Loss: -0.9812187645170424, Validation Loss: -0.6136626601219177
Epoch: 83, Train Loss: -0.9867085456848145, Validation Loss: -0.5957270264625549
Epoch: 84, Train Loss: -0.9843858347998725, Validation Loss: -0.5990036129951477
Epoch: 85, Train Loss: -0.9865590956475999, Validation Loss: -0.5976564288139343
Epoch: 86, Train Loss: -0.9918071680598789, Validation Loss: -0.6082163453102112
Epoch: 87, Train Loss: -0.9906420562002394, Validation Loss: -0.6091673970222473
Epoch: 88, Train Loss: -0.9894590086407131, Validation Loss: -0.5802568793296814
Epoch: 89, Train Loss: -0.9844713105095757, Validation Loss: -0.565876305103302
Epoch: 90, Train Loss: -0.9899063878589206, Validation Loss: -0.572841465473175
Epoch: 91, Train Loss: -0.9870426615079244, Validation Loss: -0.5829346179962158
Epoch: 92, Train Loss: -0.9847987532615662, Validation Loss: -0.5847417116165161
Epoch: 93, Train Loss: -0.9908574978510539, Validation Loss: -0.5776457190513611
Epoch: 94, Train Loss: -0.9902246859338548, Validation Loss: -0.5877558588981628
Epoch: 95, Train Loss: -0.9884910927878485, Validation Loss: -0.5804008841514587
Epoch: 96, Train Loss: -0.9912701752450731, Validation Loss: -0.5861923694610596
Epoch: 97, Train Loss: -0.993969734509786, Validation Loss: -0.5926224589347839
Epoch: 98, Train Loss: -0.9840592596266005, Validation Loss: -0.5959030389785767
Epoch: 99, Train Loss: -0.9861736138661702, Validation Loss: -0.5891993045806885
Epoch: 100, Train Loss: -0.9931873692406549, Validation Loss: -0.5891608595848083
Epoch: 101, Train Loss: -0.9902362664540608, Validation Loss: -0.6029175519943237
Epoch: 102, Train Loss: -0.990163967344496, Validation Loss: -0.5784860849380493
Epoch: 103, Train Loss: -0.9862248712115818, Validation Loss: -0.5799865126609802
Epoch: 104, Train Loss: -0.9908267829153273, Validation Loss: -0.5827347040176392
Epoch: 105, Train Loss: -0.9904155479537116, Validation Loss: -0.584908127784729
Epoch: 106, Train Loss: -0.9931777715682983, Validation Loss: -0.5910864472389221
Epoch: 107, Train Loss: -0.9910328176286486, Validation Loss: -0.5896722078323364
Epoch: 108, Train Loss: -0.9932307044665019, Validation Loss: -0.5904987454414368
Epoch: 109, Train Loss: -0.9908033688863118, Validation Loss: -0.5913169384002686
