Epoch: 0, Train Loss: -0.3337700664997101, Validation Loss: -0.3336833119392395
Epoch: 1, Train Loss: -0.38009862966007657, Validation Loss: -0.4156995415687561
Epoch: 2, Train Loss: -0.4648891435729133, Validation Loss: -0.43376922607421875
Epoch: 3, Train Loss: -0.5215932197040982, Validation Loss: -0.46856051683425903
Epoch: 4, Train Loss: -0.6225004686249627, Validation Loss: -0.5953692197799683
Epoch: 5, Train Loss: -0.7228804548581441, Validation Loss: -0.6177378296852112
Epoch: 6, Train Loss: -0.7620228860113356, Validation Loss: -0.6034054756164551
Epoch: 7, Train Loss: -0.8215144117673238, Validation Loss: -0.610548198223114
Epoch: 8, Train Loss: -0.8248616377512614, Validation Loss: -0.6018179655075073
Epoch: 9, Train Loss: -0.8739596803983053, Validation Loss: -0.5988026857376099
Epoch: 10, Train Loss: -0.8896305428610908, Validation Loss: -0.6011132597923279
Epoch: 11, Train Loss: -0.9032216217782763, Validation Loss: -0.6183866262435913
Epoch: 12, Train Loss: -0.9106675995720758, Validation Loss: -0.6248145699501038
Epoch: 13, Train Loss: -0.9120683405134413, Validation Loss: -0.6223728656768799
Epoch: 14, Train Loss: -0.9014872286054824, Validation Loss: -0.6126797199249268
Epoch: 15, Train Loss: -0.9341870811250474, Validation Loss: -0.5959003567695618
Epoch: 16, Train Loss: -0.9284410238265991, Validation Loss: -0.5951923131942749
Epoch: 17, Train Loss: -0.948117897245619, Validation Loss: -0.5903032422065735
Epoch: 18, Train Loss: -0.9492074648539225, Validation Loss: -0.599738359451294
Epoch: 19, Train Loss: -0.9537398603227404, Validation Loss: -0.5874314308166504
Epoch: 20, Train Loss: -0.9506247917811076, Validation Loss: -0.5760140419006348
Epoch: 21, Train Loss: -0.9529645694626703, Validation Loss: -0.6024376749992371
Epoch: 22, Train Loss: -0.947877229584588, Validation Loss: -0.6082051396369934
Epoch: 23, Train Loss: -0.9540538324250115, Validation Loss: -0.6222043633460999
Epoch: 24, Train Loss: -0.9680075354046291, Validation Loss: -0.6260737776756287
Epoch: 25, Train Loss: -0.9655862119462755, Validation Loss: -0.6086127758026123
Epoch: 26, Train Loss: -0.9674792912271287, Validation Loss: -0.608440101146698
Epoch: 27, Train Loss: -0.9663382371266683, Validation Loss: -0.6226783394813538
Epoch: 28, Train Loss: -0.9767131567001343, Validation Loss: -0.6283912062644958
Epoch: 29, Train Loss: -0.976548949877421, Validation Loss: -0.6163344979286194
Epoch: 30, Train Loss: -0.9684649070103963, Validation Loss: -0.6536266803741455
Epoch: 31, Train Loss: -0.979179384973314, Validation Loss: -0.6538903713226318
Epoch: 32, Train Loss: -0.9796553730964661, Validation Loss: -0.6209998726844788
Epoch: 33, Train Loss: -0.9700295646985372, Validation Loss: -0.6384104490280151
Epoch: 34, Train Loss: -0.9762487437989976, Validation Loss: -0.6092389822006226
Epoch: 35, Train Loss: -0.9731754846043057, Validation Loss: -0.6252208948135376
Epoch: 36, Train Loss: -0.976738440990448, Validation Loss: -0.6224961876869202
Epoch: 37, Train Loss: -0.9742755942874485, Validation Loss: -0.6283157467842102
Epoch: 38, Train Loss: -0.9791934291521708, Validation Loss: -0.6183745265007019
Epoch: 39, Train Loss: -0.9800100273556179, Validation Loss: -0.6161009669303894
Epoch: 40, Train Loss: -0.9864172750049167, Validation Loss: -0.6134440898895264
Epoch: 41, Train Loss: -0.9753536807166205, Validation Loss: -0.599418044090271
Epoch: 42, Train Loss: -0.978651245435079, Validation Loss: -0.6122599840164185
Epoch: 43, Train Loss: -0.982820827431149, Validation Loss: -0.6243196129798889
Epoch: 44, Train Loss: -0.977114983399709, Validation Loss: -0.624829113483429
Epoch: 45, Train Loss: -0.9903990255461799, Validation Loss: -0.6302095651626587
Epoch: 46, Train Loss: -0.9847303258048163, Validation Loss: -0.608618974685669
Epoch: 47, Train Loss: -0.9800583508279589, Validation Loss: -0.6092163324356079
Epoch: 48, Train Loss: -0.985235087076823, Validation Loss: -0.5946046113967896
Epoch: 49, Train Loss: -0.9849597096443177, Validation Loss: -0.6047254800796509
Epoch: 50, Train Loss: -0.9855749607086182, Validation Loss: -0.6182217597961426
Epoch: 51, Train Loss: -0.9939625753296746, Validation Loss: -0.6200195550918579
Epoch: 52, Train Loss: -0.9923194474644131, Validation Loss: -0.6243692636489868
Epoch: 53, Train Loss: -0.9880763186348809, Validation Loss: -0.6137670278549194
Epoch: 54, Train Loss: -0.9918780128161112, Validation Loss: -0.6155701875686646
Epoch: 55, Train Loss: -0.9915639758110046, Validation Loss: -0.6236892342567444
Epoch: 56, Train Loss: -0.9918560412194993, Validation Loss: -0.633407473564148
Epoch: 57, Train Loss: -0.9884467826949226, Validation Loss: -0.6313512921333313
Epoch: 58, Train Loss: -0.9870419965849982, Validation Loss: -0.6066263914108276
Epoch: 59, Train Loss: -0.9886027826203241, Validation Loss: -0.6184900403022766
Epoch: 60, Train Loss: -0.9938947068320381, Validation Loss: -0.6109465956687927
Epoch: 61, Train Loss: -0.9818346288469103, Validation Loss: -0.5958128571510315
Epoch: 62, Train Loss: -0.9890309505992465, Validation Loss: -0.6171357035636902
Epoch: 63, Train Loss: -0.9877550827132331, Validation Loss: -0.6159976124763489
Epoch: 64, Train Loss: -0.9796733803219265, Validation Loss: -0.607922375202179
Epoch: 65, Train Loss: -0.9739346596929762, Validation Loss: -0.5910213589668274
Epoch: 66, Train Loss: -0.9863404538896349, Validation Loss: -0.6109378337860107
Epoch: 67, Train Loss: -0.9908065517743428, Validation Loss: -0.6157341599464417
Epoch: 68, Train Loss: -0.9908504274156359, Validation Loss: -0.6129947304725647
Epoch: 69, Train Loss: -0.9921165400081211, Validation Loss: -0.6083709001541138
Epoch: 70, Train Loss: -0.985362093978458, Validation Loss: -0.6161686182022095
Epoch: 71, Train Loss: -0.9870681961377462, Validation Loss: -0.6236974596977234
Epoch: 72, Train Loss: -0.9888847589492797, Validation Loss: -0.6254722476005554
Epoch: 73, Train Loss: -0.9877768119176229, Validation Loss: -0.6149430274963379
Epoch: 74, Train Loss: -0.98687291542689, Validation Loss: -0.6265681385993958
Epoch: 75, Train Loss: -0.9923631403181288, Validation Loss: -0.6242501735687256
Epoch: 76, Train Loss: -0.9820564375983344, Validation Loss: -0.6130996346473694
Epoch: 77, Train Loss: -0.9921542273627387, Validation Loss: -0.5992053151130676
Epoch: 78, Train Loss: -0.9914614902602301, Validation Loss: -0.6001103520393372
Epoch: 79, Train Loss: -0.9883923954433865, Validation Loss: -0.5962289571762085
Epoch: 80, Train Loss: -0.9906179242663913, Validation Loss: -0.5986087322235107
Epoch: 81, Train Loss: -0.9900830626487732, Validation Loss: -0.6058065891265869
Epoch: 82, Train Loss: -0.9912402709325154, Validation Loss: -0.6070831418037415
Epoch: 83, Train Loss: -0.9903784381018744, Validation Loss: -0.5889039635658264
Epoch: 84, Train Loss: -0.9866329405042861, Validation Loss: -0.5906100273132324
Epoch: 85, Train Loss: -0.991007231341468, Validation Loss: -0.5806761980056763
Epoch: 86, Train Loss: -0.9945402754677667, Validation Loss: -0.5847826600074768
Epoch: 87, Train Loss: -0.9949993464681838, Validation Loss: -0.5874493718147278
Epoch: 88, Train Loss: -0.990715852048662, Validation Loss: -0.5899599194526672
Epoch: 89, Train Loss: -0.9879892124070062, Validation Loss: -0.5902116894721985
Epoch: 90, Train Loss: -0.9932783206303915, Validation Loss: -0.5968145728111267
Epoch: 91, Train Loss: -0.9834682173199124, Validation Loss: -0.6031376123428345
Epoch: 92, Train Loss: -0.990959366162618, Validation Loss: -0.5999467968940735
